"added_route_id","trip_id"
"CR-Lowell","CR-Saturday-PTC-18-1300"
"CR-Lowell","CR-Saturday-PTC-18-1301"
"CR-Lowell","CR-Saturday-PTC-18-1302"
"CR-Lowell","CR-Saturday-PTC-18-1303"
"CR-Lowell","CR-Saturday-PTC-18-1304"
"CR-Lowell","CR-Saturday-PTC-18-1305"
"CR-Lowell","CR-Saturday-PTC-18-1306"
"CR-Lowell","CR-Saturday-PTC-18-1307"
"CR-Lowell","CR-Saturday-PTC-18-1308"
"CR-Lowell","CR-Saturday-PTC-18-1309"
"CR-Lowell","CR-Saturday-PTC-18-1310"
"CR-Lowell","CR-Saturday-PTC-18-1311"
"CR-Lowell","CR-Saturday-PTC-18-1312"
"CR-Lowell","CR-Saturday-PTC-18-1313"
"CR-Lowell","CR-Saturday-PTC-18-1314"
"CR-Lowell","CR-Saturday-PTC-18-1315"
"CR-Lowell","CR-Sunday-PTC-18-2300"
"CR-Lowell","CR-Sunday-PTC-18-2301"
"CR-Lowell","CR-Sunday-PTC-18-2302"
"CR-Lowell","CR-Sunday-PTC-18-2303"
"CR-Lowell","CR-Sunday-PTC-18-2304"
"CR-Lowell","CR-Sunday-PTC-18-2305"
"CR-Lowell","CR-Sunday-PTC-18-2306"
"CR-Lowell","CR-Sunday-PTC-18-2307"
"CR-Lowell","CR-Sunday-PTC-18-2308"
"CR-Lowell","CR-Sunday-PTC-18-2309"
"CR-Lowell","CR-Sunday-PTC-18-2310"
"CR-Lowell","CR-Sunday-PTC-18-2311"
"CR-Lowell","CR-Sunday-PTC-18-2312"
"CR-Lowell","CR-Sunday-PTC-18-2313"
"CR-Lowell","CR-Sunday-PTC-18-2314"
"CR-Lowell","CR-Sunday-PTC-18-2315"
"24","38486683"
"27","38486683"
"24","38486684"
"27","38486684"
"24","38486685"
"27","38486685"
"24","38486686"
"27","38486686"
"24","38486687"
"27","38486687"
"24","38486688"
"27","38486688"
"24","38486689"
"27","38486689"
"24","38486690"
"27","38486690"
"24","38486691"
"27","38486691"
"24","38486692"
"27","38486692"
"24","38486693"
"27","38486693"
"24","38486694"
"27","38486694"
"40","38487882"
"50","38487882"
"40","38487885"
"50","38487885"
"40","38487901"
"50","38487901"
"40","38487912"
"50","38487912"
"37","38326062"
"38","38326062"
"37","38326073"
"38","38326073"
"37","38326084"
"38","38326084"
"37","38326091"
"38","38326091"
"37","38326104"
"38","38326104"
"37","38326113"
"38","38326113"
"24","38326330"
"27","38326330"
"24","38326331"
"27","38326331"
"24","38326332"
"27","38326332"
"24","38326333"
"27","38326333"
"24","38326334"
"27","38326334"
"24","38326335"
"27","38326335"
"24","38326336"
"27","38326336"
"24","38326337"
"27","38326337"
"24","38326338"
"27","38326338"
"24","38326339"
"27","38326339"
"24","38326340"
"27","38326340"
"24","38326341"
"27","38326341"
"24","38326343"
"27","38326343"
"24","38326344"
"27","38326344"
"24","38326345"
"27","38326345"
"24","38326346"
"27","38326346"
"24","38326347"
"27","38326347"
"24","38326348"
"27","38326348"
"24","38326349"
"27","38326349"
"24","38326350"
"27","38326350"
"24","38326351"
"27","38326351"
"24","38326352"
"27","38326352"
"24","38326353"
"27","38326353"
"24","38326354"
"27","38326354"
"24","38326355"
"27","38326355"
"24","38326356"
"27","38326356"
"24","38326357"
"27","38326357"
"24","38326358"
"27","38326358"
"24","38326359"
"27","38326359"
"24","38326360"
"27","38326360"
"24","38326361"
"27","38326361"
"24","38326362"
"27","38326362"
"24","38326363"
"27","38326363"
"24","38326364"
"27","38326364"
"24","38326365"
"27","38326365"
"24","38326366"
"27","38326366"
"24","38326367"
"27","38326367"
"24","38326368"
"27","38326368"
"24","38326369"
"27","38326369"
"24","38326370"
"27","38326370"
"40","38326486"
"50","38326486"
"40","38326487"
"50","38326487"
"40","38326488"
"50","38326488"
"40","38326489"
"50","38326489"
"40","38326490"
"50","38326490"
"40","38326491"
"50","38326491"
"40","38326492"
"50","38326492"
"40","38326493"
"50","38326493"
"24","38326594"
"27","38326594"
"24","38326595"
"27","38326595"
"24","38326596"
"27","38326596"
"24","38326597"
"27","38326597"
"24","38326598"
"27","38326598"
"24","38326599"
"27","38326599"
"24","38326600"
"27","38326600"
"24","38326601"
"27","38326601"
"24","38326602"
"27","38326602"
"24","38326603"
"27","38326603"
"24","38326604"
"27","38326604"
"24","38326605"
"27","38326605"
"24","38326606"
"27","38326606"
"32","38327038"
"33","38327038"
"32","38327187"
"33","38327187"
"24","38328345"
"27","38328345"
"24","38328384"
"27","38328384"
"40","38328518"
"50","38328518"
"40","38328519"
"50","38328519"
"40","38328520"
"50","38328520"
"40","38328521"
"50","38328521"
"40","38328522"
"50","38328522"
"40","38328523"
"50","38328523"
"40","38328524"
"50","38328524"
"40","38328525"
"50","38328525"
"40","38328526"
"50","38328526"
"40","38328527"
"50","38328527"
"40","38328528"
"50","38328528"
"40","38328529"
"50","38328529"
"40","38328530"
"50","38328530"
"40","38328531"
"50","38328531"
"40","38328532"
"50","38328532"
"40","38328533"
"50","38328533"
"24","38328534"
"27","38328534"
"24","38328656"
"27","38328656"
"24","38328657"
"27","38328657"
"24","38328658"
"27","38328658"
"24","38328659"
"27","38328659"
"24","38328660"
"27","38328660"
"24","38328661"
"27","38328661"
"24","38328662"
"27","38328662"
"24","38328663"
"27","38328663"
"24","38328664"
"27","38328664"
"24","38328665"
"27","38328665"
"24","38328666"
"27","38328666"
"24","38328667"
"27","38328667"
"24","38328668"
"27","38328668"
"24","38328669"
"27","38328669"
"24","38328670"
"27","38328670"
"24","38328671"
"27","38328671"
"24","38328672"
"27","38328672"
"24","38328673"
"27","38328673"
"24","38328674"
"27","38328674"
"24","38328675"
"27","38328675"
"24","38328676"
"27","38328676"
"24","38329934"
"27","38329934"
"24","38329973"
"27","38329973"
"40","38330107"
"50","38330107"
"40","38330108"
"50","38330108"
"40","38330109"
"50","38330109"
"40","38330110"
"50","38330110"
"40","38330111"
"50","38330111"
"40","38330112"
"50","38330112"
"40","38330113"
"50","38330113"
"40","38330114"
"50","38330114"
"40","38330115"
"50","38330115"
"40","38330116"
"50","38330116"
"40","38330117"
"50","38330117"
"40","38330118"
"50","38330118"
"40","38330119"
"50","38330119"
"40","38330120"
"50","38330120"
"40","38330121"
"50","38330121"
"40","38330122"
"50","38330122"
"24","38330123"
"27","38330123"
"24","38330245"
"27","38330245"
"24","38330246"
"27","38330246"
"24","38330247"
"27","38330247"
"24","38330248"
"27","38330248"
"24","38330249"
"27","38330249"
"24","38330250"
"27","38330250"
"24","38330251"
"27","38330251"
"24","38330252"
"27","38330252"
"24","38330253"
"27","38330253"
"24","38330254"
"27","38330254"
"24","38330255"
"27","38330255"
"24","38330256"
"27","38330256"
"24","38330257"
"27","38330257"
"24","38330258"
"27","38330258"
"24","38330259"
"27","38330259"
"24","38330260"
"27","38330260"
"24","38330261"
"27","38330261"
"24","38330262"
"27","38330262"
"24","38330263"
"27","38330263"
"24","38330264"
"27","38330264"
"24","38330265"
"27","38330265"
"24","38510961"
"27","38510961"
"24","38510962"
"27","38510962"
"24","38510963"
"27","38510963"
"24","38510964"
"27","38510964"
"24","38510965"
"27","38510965"
"24","38510966"
"27","38510966"
"24","38510967"
"27","38510967"
"24","38510968"
"27","38510968"
"24","38510969"
"27","38510969"
"24","38510970"
"27","38510970"
"24","38510971"
"27","38510971"
"24","38510972"
"27","38510972"
"40","38512137"
"50","38512137"
"40","38512140"
"50","38512140"
"40","38512156"
"50","38512156"
"40","38512166"
"50","38512166"
"89","38442558"
"93","38442558"
"89","38348887"
"93","38348887"
"89","38444690"
"93","38444690"
"89","38444691"
"93","38444691"
"89","38450630"
"93","38450630"
"89","38450631"
"93","38450631"
"89","38445422"
"93","38445422"
"441","38406337"
"442","38406337"
"441","38406365"
"442","38406365"
"441","38406366"
"442","38406366"
"441","38406367"
"442","38406367"
"441","38406368"
"442","38406368"
"441","38406369"
"442","38406369"
"441","38406370"
"442","38406370"
"441","38406371"
"442","38406371"
"441","38406372"
"442","38406372"
"441","38406373"
"442","38406373"
"441","38406375"
"442","38406375"
"441","38406376"
"442","38406376"
"441","38406391"
"442","38406391"
"441","38406393"
"442","38406393"
"441","38406463"
"442","38406463"
"116","38406485"
"117","38406485"
"116","38406486"
"117","38406486"
"116","38406487"
"117","38406487"
"116","38406488"
"117","38406488"
"116","38406489"
"117","38406489"
"116","38406490"
"117","38406490"
"116","38406491"
"117","38406491"
"116","38406492"
"117","38406492"
"116","38406493"
"117","38406493"
"116","38406494"
"117","38406494"
"116","38406495"
"117","38406495"
"116","38406496"
"117","38406496"
"116","38406509"
"117","38406509"
"116","38406512"
"117","38406512"
"116","38406514"
"117","38406514"
"116","38406516"
"117","38406516"
"116","38406519"
"117","38406519"
"116","38406520"
"117","38406520"
"116","38406523"
"117","38406523"
"116","38406525"
"117","38406525"
"116","38406527"
"117","38406527"
"441","38406929"
"442","38406929"
"441","38331966"
"442","38331966"
"441","38333002"
"442","38333002"
"441","38333965"
"442","38333965"
"441","38430100"
"442","38430100"
"441","38430128"
"442","38430128"
"441","38430129"
"442","38430129"
"441","38430130"
"442","38430130"
"441","38430131"
"442","38430131"
"441","38430132"
"442","38430132"
"441","38430133"
"442","38430133"
"441","38430134"
"442","38430134"
"441","38430135"
"442","38430135"
"441","38430136"
"442","38430136"
"441","38430138"
"442","38430138"
"441","38430139"
"442","38430139"
"441","38430154"
"442","38430154"
"441","38430156"
"442","38430156"
"441","38430206"
"442","38430206"
"116","38430227"
"117","38430227"
"116","38430228"
"117","38430228"
"116","38430229"
"117","38430229"
"116","38430230"
"117","38430230"
"116","38430231"
"117","38430231"
"116","38430232"
"117","38430232"
"116","38430233"
"117","38430233"
"116","38430234"
"117","38430234"
"116","38430235"
"117","38430235"
"116","38430236"
"117","38430236"
"116","38430237"
"117","38430237"
"116","38430238"
"117","38430238"
"116","38430251"
"117","38430251"
"116","38430254"
"117","38430254"
"116","38430256"
"117","38430256"
"116","38430258"
"117","38430258"
"116","38430261"
"117","38430261"
"116","38430262"
"117","38430262"
"116","38430265"
"117","38430265"
"116","38430267"
"117","38430267"
"116","38430269"
"117","38430269"
"441","38430512"
"442","38430512"
"214","38304231"
"216","38304231"
"214","38304232"
"216","38304232"
"214","38304233"
"216","38304233"
"214","38304234"
"216","38304234"
"214","38304304"
"216","38304304"
"214","38304305"
"216","38304305"
"214","38304306"
"216","38304306"
"214","38304307"
"216","38304307"
"214","38304308"
"216","38304308"
"214","38304309"
"216","38304309"
"214","38304310"
"216","38304310"
"214","38304311"
"216","38304311"
"214","38304312"
"216","38304312"
"214","38300907"
"216","38300907"
"214","38300914"
"216","38300914"
"214","38300917"
"216","38300917"
"214","38300941"
"216","38300941"
"214","38300943"
"216","38300943"
"214","38300947"
"216","38300947"
"214","38300950"
"216","38300950"
"214","38300952"
"216","38300952"
"214","38300953"
"216","38300953"
"214","38300955"
"216","38300955"
"214","38301021"
"216","38301021"
"214","38301032"
"216","38301032"
"214","38301054"
"216","38301054"
"214","38301060"
"216","38301060"
"214","38301098"
"216","38301098"
"214","38301175"
"216","38301175"
"214","38301176"
"216","38301176"
"214","38301177"
"216","38301177"
"214","38301178"
"216","38301178"
"214","38301183"
"216","38301183"
"214","38301184"
"216","38301184"
"214","38301185"
"216","38301185"
"214","38301195"
"216","38301195"
"214","38301196"
"216","38301196"
"214","38301197"
"216","38301197"
"214","38301198"
"216","38301198"
"214","38301199"
"216","38301199"
"214","38301200"
"216","38301200"
"214","38301201"
"216","38301201"
"214","38301202"
"216","38301202"
"214","38301203"
"216","38301203"
"214","38301204"
"216","38301204"
"214","38301205"
"216","38301205"
"214","38301206"
"216","38301206"
"214","38301207"
"216","38301207"
"214","38301208"
"216","38301208"
"214","38301209"
"216","38301209"
"214","38301210"
"216","38301210"
"214","38301211"
"216","38301211"
"214","38301212"
"216","38301212"
"214","38301213"
"216","38301213"
"214","38301214"
"216","38301214"
"214","38301215"
"216","38301215"
"214","38301216"
"216","38301216"
"214","38301217"
"216","38301217"
"214","38301218"
"216","38301218"
"214","38301287"
"216","38301287"
"214","38301291"
"216","38301291"
"214","38301295"
"216","38301295"
"214","38301299"
"216","38301299"
"214","38301301"
"216","38301301"
"214","38301310"
"216","38301310"
"214","38301487"
