added_route_id,trip_id
32,54407887
33,54407887
32,54407913
33,54407913
32,54407332
33,54407332
32,54640841
33,54640841
32,54572684
33,54572684
32,54572710
33,54572710
40,54408589
50,54408589
40,54408694
50,54408694
40,54406880
50,54406880
40,54406881
50,54406881
40,54406883
50,54406883
40,54406886
50,54406886
40,54405962
50,54405962
40,54405963
50,54405963
40,54405964
50,54405964
40,54405965
50,54405965
40,54405966
50,54405966
40,54405967
50,54405967
40,54405968
50,54405968
40,54405969
50,54405969
40,54640389
50,54640389
40,54640390
50,54640390
40,54640392
50,54640392
40,54640395
50,54640395
40,54573355
50,54573355
40,54573459
50,54573459
40,54408565
50,54408565
40,54408576
50,54408576
40,54406882
50,54406882
40,54406884
50,54406884
40,54406885
50,54406885
40,54406887
50,54406887
40,54405961
50,54405961
40,54405970
50,54405970
40,54405971
50,54405971
40,54405972
50,54405972
40,54405973
50,54405973
40,54405974
50,54405974
40,54405975
50,54405975
40,54405976
50,54405976
40,54640391
50,54640391
40,54640393
50,54640393
40,54640394
50,54640394
40,54640396
50,54640396
40,54573331
50,54573331
40,54573342
50,54573342
441,54948138
442,54948138
441,54948705
442,54948705
441,54948709
442,54948709
441,54948710
442,54948710
441,54948711
442,54948711
441,54948712
442,54948712
441,54948714
442,54948714
441,54948716
442,54948716
441,54948718
442,54948718
441,54948722
442,54948722
441,54948734
442,54948734
441,54948737
442,54948737
441,54948744
442,54948744
441,54948748
442,54948748
441,54948750
442,54948750
441,54948751
442,54948751
441,54948754
442,54948754
441,54948757
442,54948757
441,54948759
442,54948759
441,54948761
442,54948761
441,54948783
442,54948783
441,54948814
442,54948814
441,54948818
442,54948818
441,54948819
442,54948819
441,54948820
442,54948820
441,54948822
442,54948822
441,54952392
442,54952392
441,54952412
442,54952412
441,54950681
442,54950681
441,54950686
442,54950686
441,54950696
442,54950696
441,54950699
442,54950699
441,54950701
442,54950701
441,54950702
442,54950702
441,54950703
442,54950703
441,54950705
442,54950705
441,54950710
442,54950710
441,54950711
442,54950711
441,54950714
442,54950714
441,54950725
442,54950725
441,54950728
442,54950728
441,54950729
442,54950729
441,54950730
442,54950730
441,54950732
442,54950732
441,54950734
442,54950734
441,54950740
442,54950740
441,54950743
442,54950743
441,54950746
442,54950746
441,54950771
442,54950771
441,54950798
442,54950798
441,54950802
442,54950802
441,54950803
442,54950803
441,54950804
442,54950804
441,54950805
442,54950805
441,54948704
442,54948704
441,54948706
442,54948706
441,54948707
442,54948707
441,54948708
442,54948708
441,54948713
442,54948713
441,54948717
442,54948717
441,54948719
442,54948719
441,54948721
442,54948721
441,54948723
442,54948723
441,54948735
442,54948735
441,54948746
442,54948746
441,54948747
442,54948747
441,54948749
442,54948749
441,54948755
442,54948755
441,54948756
442,54948756
441,54948758
442,54948758
441,54948760
442,54948760
441,54948762
442,54948762
441,54948781
442,54948781
441,54948782
442,54948782
441,54948787
442,54948787
441,54948790
442,54948790
441,54948815
442,54948815
441,54948817
442,54948817
441,54948821
442,54948821
441,54948824
442,54948824
441,54952391
442,54952391
441,54952394
442,54952394
441,54952434
442,54952434
441,54950691
442,54950691
441,54950695
442,54950695
441,54950697
442,54950697
441,54950698
442,54950698
441,54950700
442,54950700
441,54950704
442,54950704
441,54950708
442,54950708
441,54950709
442,54950709
441,54950712
442,54950712
441,54950722
442,54950722
441,54950727
442,54950727
441,54950731
