added_route_id,trip_id
32,58870319
33,58870319
32,58870345
33,58870345
32,58713811
33,58713811
32,58766235
33,58766235
32,58779744
33,58779744
40,58870956
50,58870956
40,58871043
50,58871043
40,58713370
50,58713370
40,58713371
50,58713371
40,58713373
50,58713373
40,58713376
50,58713376
40,58717582
50,58717582
40,58717583
50,58717583
40,58717584
50,58717584
40,58717585
50,58717585
40,58717586
50,58717586
40,58717587
50,58717587
40,58717588
50,58717588
40,58717589
50,58717589
40,58789301
50,58789301
40,58789302
50,58789302
40,58789303
50,58789303
40,58789304
50,58789304
40,58789305
50,58789305
40,58789306
50,58789306
40,58789307
50,58789307
40,58789308
50,58789308
40,58780355
50,58780355
40,58780442
50,58780442
40,58870933
50,58870933
40,58870944
50,58870944
40,58713372
50,58713372
40,58713374
50,58713374
40,58713375
50,58713375
40,58713377
50,58713377
40,58717581
50,58717581
40,58717590
50,58717590
40,58717591
50,58717591
40,58717592
50,58717592
40,58717593
50,58717593
40,58717594
50,58717594
40,58717595
50,58717595
40,58717596
50,58717596
40,58789300
50,58789300
40,58789309
50,58789309
40,58789310
50,58789310
40,58789311
50,58789311
40,58789312
50,58789312
40,58789313
50,58789313
40,58789314
50,58789314
40,58789315
50,58789315
40,58780332
50,58780332
40,58780343
50,58780343
441,58653521
442,58653521
441,58653523
442,58653523
441,58653525
442,58653525
441,58653527
442,58653527
441,58653529
442,58653529
441,58653531
442,58653531
441,58653532
442,58653532
441,58653534
442,58653534
441,58653536
442,58653536
441,58653538
442,58653538
441,58653558
442,58653558
441,58653569
442,58653569
441,58653906
442,58653906
441,58653984
442,58653984
441,58653986
442,58653986
441,58656987
442,58656987
441,58657006
442,58657006
441,58658401
442,58658401
441,58658420
442,58658420
441,58654871
442,58654871
441,58654873
442,58654873
441,58654875
442,58654875
441,58654877
442,58654877
441,58654879
442,58654879
441,58654881
442,58654881
441,58654882
442,58654882
441,58654884
442,58654884
441,58654886
442,58654886
441,58654888
442,58654888
441,58654908
442,58654908
441,58654919
442,58654919
441,58655253
442,58655253
441,58655331
442,58655331
441,58655333
442,58655333
441,58653520
442,58653520
441,58653522
442,58653522
441,58653524
442,58653524
441,58653526
442,58653526
441,58653528
442,58653528
441,58653530
442,58653530
441,58653533
442,58653533
441,58653535
442,58653535
441,58653537
442,58653537
441,58653544
442,58653544
441,58653554
442,58653554
441,58653555
442,58653555
441,58653572
442,58653572
441,58653574
442,58653574
441,58653985
442,58653985
441,58656986
442,58656986
441,58656989
442,58656989
441,58657028
442,58657028
441,58658400
442,58658400
441,58658403
442,58658403
441,58658442
442,58658442
441,58654870
442,58654870
441,58654872
442,58654872
441,58654874
442,58654874
441,58654876
442,58654876
441,58654878
442,58654878
441,58654880
442,58654880
441,58654883
442,58654883
441,58654885
442,58654885
441,58654887
442,58654887
441,58654894
442,58654894
441,58654904
442,58654904
441,58654905
442,58654905
441,58654922
442,58654922
441,58654924
442,58654924
441,58655332
442,58655332
62,58555908
76,58555908
62,58555920
76,58555920
62,58555923
76,58555923
62,58555945
76,58555945
62,58555946
76,58555946
62,58555947
76,58555947
62,58555952
76,58555952
62,58555957
76,58555957
62,58555933
76,58555933
62,58555961
76,58555961
62,58557482
76,58557482
62,58557484
76,58557484
62,58557486
76,58557486
62,58557488
76,58557488
62,58557490
76,58557490
62,58557492
76,58557492
62,58557495
76,58557495
62,58557497
76,58557497
62,58557499
76,58557499
62,58557501
76,58557501
62,58557503
76,58557503
62,58557505
76,58557505
62,58651593
76,58651593
62,58651605
76,58651605
62,58651608
76,58651608
62,58651630
76,58651630
62,58651631
76,58651631
62,58651632
76,58651632
62,58651637
76,58651637
62,58651642
76,58651642
62,58651618
76,58651618
62,58651646
76,58651646
62,58555906
76,58555906
62,58555926
76,58555926
62,58555951
76,58555951
62,58555955
76,58555955
62,58555962
76,58555962
62,58555919
76,58555919
62,58555922
76,58555922
62,58555950
76,58555950
62,58555953
76,58555953
62,58555960
76,58555960
62,58557483
76,58557483
62,58557485
76,58557485
62,58557487
76,58557487
62,58557489
76,58557489
62,58557491
76,58557491
62,58557493
76,58557493
62,58557494
76,58557494
62,58557496
76,58557496
62,58557498
76,58557498
62,58557500
76,58557500
62,58557502
76,58557502
62,58557504
76,58557504
62,58651591
76,58651591
62,58651611
76,58651611
62,58651636
76,58651636
62,58651640
76,58651640
62,58651647
76,58651647
62,58651604
76,58651604
62,58651607
76,58651607
62,58651635
76,58651635
62,58651638
76,58651638
62,58651645
76,58651645
741,58803140
742,58803140
743,58803140
741,58803142
742,58803142
743,58803142
741,58803144
742,58803144
743,58803144
741,58803146
742,58803146
743,58803146
741,58803148
742,58803148
743,58803148
741,58803150
742,58803150
743,58803150
741,58803152
742,58803152
743,58803152
741,58803154
742,58803154
743,58803154
741,58803156
742,58803156
743,58803156
741,58803158
742,58803158
743,58803158
741,58803160
742,58803160
743,58803160
741,58803162
742,58803162
743,58803162
741,58803164
742,58803164
743,58803164
741,58803166
742,58803166
743,58803166
741,58803168
742,58803168
743,58803168
741,58803170
742,58803170
743,58803170
741,58803172
742,58803172
743,58803172
741,58803174
742,58803174
743,58803174
741,58803176
742,58803176
743,58803176
741,58803178
742,58803178
743,58803178
741,58803180
742,58803180
743,58803180
741,58803182
742,58803182
743,58803182
741,58803184
742,58803184
743,58803184
741,58803186
742,58803186
743,58803186
741,58803188
742,58803188
743,58803188
741,58803190
742,58803190
743,58803190
741,58803192
742,58803192
743,58803192
741,58803193
742,58803193
743,58803193
741,58803196
742,58803196
743,58803196
741,58803198
742,58803198
743,58803198
741,58803200
742,58803200
743,58803200
741,58803202
742,58803202
743,58803202
741,58803203
742,58803203
743,58803203
741,58803270
742,58803270
743,58803270
741,58803802
742,58803802
743,58803802
741,58803803
742,58803803
743,58803803
741,58803804
742,58803804
743,58803804
741,58803979
742,58803979
743,58803979
741,58803981
742,58803981
743,58803981
741,58803988
742,58803988
743,58803988
741,58804222
742,58804222
743,58804222
741,58804223
742,58804223
743,58804223
741,58804229
742,58804229
743,58804229
741,58804234
742,58804234
743,58804234
741,58804235
742,58804235
743,58804235
741,58804239
742,58804239
743,58804239
741,58804244
742,58804244
743,58804244
741,58804245
742,58804245
743,58804245
741,58804247
742,58804247
743,58804247
741,58804248
742,58804248
743,58804248
741,58804249
742,58804249
743,58804249
741,58804251
742,58804251
743,58804251
741,58706056
742,58706056
743,58706056
741,58706057
742,58706057
743,58706057
741,58706060
742,58706060
743,58706060
741,58706062
742,58706062
743,58706062
741,58706064
742,58706064
743,58706064
741,58706066
742,58706066
743,58706066
741,58706067
742,58706067
743,58706067
741,58706069
742,58706069
743,58706069
741,58706072
742,58706072
743,58706072
741,58706074
742,58706074
743,58706074
741,58706076
742,58706076
743,58706076
741,58706077
742,58706077
743,58706077
741,58706079
742,58706079
743,58706079
741,58706081
742,58706081
743,58706081
741,58706083
742,58706083
743,58706083
741,58706085
742,58706085
743,58706085
741,58706087
742,58706087
743,58706087
741,58706089
742,58706089
743,58706089
741,58706091
742,58706091
743,58706091
741,58706093
742,58706093
743,58706093
741,58706095
742,58706095
743,58706095
741,58706097
742,58706097
743,58706097
741,58706099
742,58706099
743,58706099
741,58706101
742,58706101
743,58706101
741,58706419
742,58706419
743,58706419
741,58706420
742,58706420
743,58706420
741,58706421
742,58706421
743,58706421
741,58706422
742,58706422
743,58706422
741,58706854
742,58706854
743,58706854
741,58706866
742,58706866
743,58706866
741,58706867
742,58706867
743,58706867
741,58706876
742,58706876
743,58706876
741,58706953
742,58706953
743,58706953
741,58706958
742,58706958
743,58706958
741,58706976
742,58706976
743,58706976
741,58707025
742,58707025
743,58707025
741,58707026
742,58707026
743,58707026
741,58707027
742,58707027
743,58707027
741,58707028
742,58707028
743,58707028
741,58720621
742,58720621
743,58720621
741,58720625
742,58720625
743,58720625
741,58720628
742,58720628
743,58720628
741,58720633
742,58720633
743,58720633
741,58720640
742,58720640
743,58720640
741,58720641
742,58720641
743,58720641
741,58720646
742,58720646
743,58720646
741,58720650
742,58720650
743,58720650
741,58720656
742,58720656
743,58720656
741,58720664
742,58720664
743,58720664
741,58683301
742,58683301
743,58683301
741,58683302
742,58683302
743,58683302
741,58683305
742,58683305
743,58683305
741,58683307
742,58683307
743,58683307
741,58683309
742,58683309
743,58683309
741,58683311
742,58683311
743,58683311
741,58683312
742,58683312
743,58683312
741,58683314
742,58683314
743,58683314
741,58683317
742,58683317
743,58683317
741,58683319
742,58683319
743,58683319
741,58683321
742,58683321
743,58683321
741,58683322
742,58683322
743,58683322
741,58683324
742,58683324
743,58683324
741,58683326
742,58683326
743,58683326
741,58683328
742,58683328
743,58683328
741,58683330
742,58683330
743,58683330
741,58683332
742,58683332
743,58683332
741,58683334
742,58683334
743,58683334
741,58683336
742,58683336
743,58683336
741,58683338
742,58683338
743,58683338
741,58683340
742,58683340
743,58683340
741,58683342
742,58683342
743,58683342
741,58683344
742,58683344
743,58683344
741,58683346
742,58683346
743,58683346
741,58683664
742,58683664
743,58683664
741,58683665
742,58683665
743,58683665
741,58683666
742,58683666
743,58683666
741,58683667
742,58683667
743,58683667
741,58684107
742,58684107
743,58684107
741,58684119
742,58684119
743,58684119
741,58684120
742,58684120
743,58684120
741,58684129
742,58684129
743,58684129
741,58684206
742,58684206
743,58684206
741,58684211
742,58684211
743,58684211
741,58684229
742,58684229
743,58684229
741,58684278
742,58684278
743,58684278
741,58684279
742,58684279
743,58684279
741,58684280
742,58684280
743,58684280
741,58684281
742,58684281
743,58684281
741,58691540
742,58691540
743,58691540
741,58691545
742,58691545
743,58691545
741,58691547
742,58691547
743,58691547
741,58691558
742,58691558
743,58691558
741,58691562
742,58691562
743,58691562
741,58691584
742,58691584
743,58691584
741,58691591
742,58691591
743,58691591
741,58691594
742,58691594
743,58691594
741,58691595
742,58691595
743,58691595
741,58771655
742,58771655
743,58771655
741,58771664
742,58771664
743,58771664
741,58771665
742,58771665
743,58771665
741,58771666
742,58771666
743,58771666
741,58771667
742,58771667
743,58771667
741,58771668
742,58771668
743,58771668
741,58771669
742,58771669
743,58771669
741,58771670
742,58771670
743,58771670
741,58771671
742,58771671
743,58771671
741,58771672
742,58771672
743,58771672
741,58771673
742,58771673
743,58771673
741,58771674
742,58771674
743,58771674
741,58771675
742,58771675
743,58771675
741,58771676
742,58771676
743,58771676
741,58771679
742,58771679
743,58771679
741,58771685
742,58771685
743,58771685
741,58771687
742,58771687
743,58771687
741,58771688
742,58771688
743,58771688
741,58771690
742,58771690
743,58771690
741,58771693
742,58771693
743,58771693
741,58771694
742,58771694
743,58771694
741,58771696
742,58771696
743,58771696
741,58771697
742,58771697
743,58771697
741,58771699
742,58771699
743,58771699
741,58771701
742,58771701
743,58771701
741,58771703
742,58771703
743,58771703
741,58772488
742,58772488
743,58772488
741,58772848
742,58772848
743,58772848
741,58772849
742,58772849
743,58772849
741,58772850
742,58772850
743,58772850
741,58773076
742,58773076
743,58773076
741,58773077
742,58773077
743,58773077
741,58773078
742,58773078
743,58773078
741,58773079
742,58773079
743,58773079
741,58782235
742,58782235
743,58782235
741,58782244
742,58782244
743,58782244
741,58782248
742,58782248
743,58782248
741,58782249
742,58782249
743,58782249
741,58782253
742,58782253
743,58782253
741,58782255
742,58782255
743,58782255
741,58782257
742,58782257
743,58782257
741,58782258
742,58782258
743,58782258
741,58782266
742,58782266
743,58782266
741,58798588
742,58798588
743,58798588
741,58798590
742,58798590
743,58798590
741,58798592
742,58798592
743,58798592
741,58798594
742,58798594
743,58798594
741,58798596
742,58798596
743,58798596
741,58798598
742,58798598
743,58798598
741,58798600
742,58798600
743,58798600
741,58798602
742,58798602
743,58798602
741,58798604
742,58798604
743,58798604
741,58798606
742,58798606
743,58798606
741,58798608
742,58798608
743,58798608
741,58798610
742,58798610
743,58798610
741,58798612
742,58798612
743,58798612
741,58798614
742,58798614
743,58798614
741,58798616
742,58798616
743,58798616
741,58798618
742,58798618
743,58798618
741,58798620
742,58798620
743,58798620
741,58798622
742,58798622
743,58798622
741,58798624
742,58798624
743,58798624
741,58798626
742,58798626
743,58798626
741,58798628
742,58798628
743,58798628
741,58798630
742,58798630
743,58798630
741,58798632
742,58798632
743,58798632
741,58798634
742,58798634
743,58798634
741,58798636
742,58798636
743,58798636
741,58798638
742,58798638
743,58798638
741,58798640
742,58798640
743,58798640
741,58798641
742,58798641
743,58798641
741,58798644
742,58798644
743,58798644
741,58798646
742,58798646
743,58798646
741,58798648
742,58798648
743,58798648
741,58798650
742,58798650
743,58798650
741,58798651
742,58798651
743,58798651
741,58798668
742,58798668
743,58798668
741,58799308
742,58799308
743,58799308
741,58799317
742,58799317
743,58799317
741,58799318
742,58799318
743,58799318
741,58799458
742,58799458
743,58799458
741,58799514
742,58799514
743,58799514
741,58799517
742,58799517
743,58799517
741,58799759
742,58799759
743,58799759
741,58799763
742,58799763
743,58799763
741,58799770
742,58799770
743,58799770
741,58799771
742,58799771
743,58799771
741,58799772
742,58799772
743,58799772
741,58799778
742,58799778
743,58799778
741,58799779
742,58799779
743,58799779
741,58799780
742,58799780
743,58799780
741,58799781
742,58799781
743,58799781
741,58799782
742,58799782
743,58799782
741,58799783
742,58799783
743,58799783
741,58799784
742,58799784
743,58799784
741,58634555
742,58634555
743,58634555
741,58634556
742,58634556
743,58634556
741,58634559
742,58634559
743,58634559
741,58634561
742,58634561
743,58634561
741,58634563
742,58634563
743,58634563
741,58634565
742,58634565
743,58634565
741,58634566
742,58634566
743,58634566
741,58634568
742,58634568
743,58634568
741,58634571
742,58634571
743,58634571
741,58634573
742,58634573
743,58634573
741,58634575
742,58634575
743,58634575
741,58634576
742,58634576
743,58634576
741,58634578
742,58634578
743,58634578
741,58634580
742,58634580
743,58634580
741,58634582
742,58634582
743,58634582
741,58634584
742,58634584
743,58634584
741,58634586
742,58634586
