route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
Red-3-0,Red,0,Alewife - Braintree,,1,100100000,canonical-Red-C1-0,1
Red-1-0,Red,0,Alewife - Ashmont,,1,100100001,canonical-Red-C2-0,1
Red-3-1,Red,1,Braintree - Alewife,,1,100101000,canonical-Red-C1-1,1
Red-1-1,Red,1,Ashmont - Alewife,,1,100101001,canonical-Red-C2-1,1
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,100110000,canonical-Mattapan-C1-0,1
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,100111000,canonical-Mattapan-C1-1,1
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,100200000,canonical-Orange-C1-0,1
Orange-9-0,Orange,0,Oak Grove - Ruggles,Weekends only,3,100200040,60965143,2
Orange-2-0,Orange,0,Jackson Square - Forest Hills,Weekdays only,3,100200050,61260448,2
Orange-7-0,Orange,0,Oak Grove - North Station,Weekdays only,3,100200060,61746557,2
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,100201000,canonical-Orange-C1-1,1
Orange-9-1,Orange,1,Ruggles - Oak Grove,Weekends only,3,100201040,60965260,2
Orange-2-1,Orange,1,Forest Hills - Jackson Square,Weekdays only,3,100201050,61260447,2
Orange-7-1,Orange,1,North Station - Oak Grove,Weekdays only,3,100201060,61746687,2
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,100320000,canonical-Green-B-C1-0,1
Green-B-816-0,Green-B,0,Medford/Tufts - Boston College,Mornings only,3,100320040,60564128,2
Green-B-812-0_70202_170137_2,Green-B,0,Babcock Street - Boston College,,4,100320990,60564033-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-B-816-0_70202_170137_0,Green-B,0,Medford/Tufts - Government Center,,4,100320990,60564128-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-B-816-0_70202_170137_2,Green-B,0,Babcock Street - Boston College,,4,100320990,60564128-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,100321000,canonical-Green-B-C1-1,1
Green-B-816-1,Green-B,1,Boston College - Medford/Tufts,Early mornings only,3,100321040,60564040,2
Green-B-812-1_170136_70201_0,Green-B,1,Boston College - Babcock Street,,4,100321990,60564032-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-B-816-1_170136_70201_0,Green-B,1,Boston College - Babcock Street,,4,100321990,60564040-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-B-816-1_170136_70201_2,Green-B,1,Government Center - Medford/Tufts,,4,100321990,60564040-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,100330000,canonical-Green-C-C1-0,1
Green-C-836-0,Green-C,0,Medford/Tufts - Cleveland Circle,Mornings only,3,100330040,60564111,2
Green-C-836-0_70202_70237_0,Green-C,0,Medford/Tufts - Government Center,,4,100330990,60564111-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,100331000,canonical-Green-C-C1-1,1
Green-C-836-1,Green-C,1,Cleveland Circle - Medford/Tufts,Early mornings only,3,100331040,60564112,2
Green-C-836-1_70238_70201_2,Green-C,1,Government Center - Medford/Tufts,,4,100331990,60564112-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,100340000,canonical-Green-D-C1-0,1
Green-D-856-0,Green-D,0,Medford/Tufts - Riverside,Weekday mornings only,3,100340040,60564601,2
Green-D-855-0_70202_70179_0,Green-D,0,Union Square - Government Center,,4,100340990,60564589-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-D-855-0_70202_70179_2,Green-D,0,Brookline Hills - Riverside,,4,100340990,60564589-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-D-856-0_70202_70179_0,Green-D,0,Medford/Tufts - Government Center,,4,100340990,60564601-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-D-856-0_70202_70179_2,Green-D,0,Brookline Hills - Riverside,,4,100340990,60564601-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,100341000,canonical-Green-D-C1-1,1
Green-D-856-1,Green-D,1,Riverside - Medford/Tufts,Weekday early mornings only,3,100341040,60564597,2
Green-D-855-1_70178_70201_0,Green-D,1,Riverside - Brookline Hills,,4,100341990,60564588-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-D-855-1_70178_70201_2,Green-D,1,Government Center - Union Square,,4,100341990,60564588-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-D-856-1_70178_70201_0,Green-D,1,Riverside - Brookline Hills,,4,100341990,60564597-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend0,2
Green-D-856-1_70178_70201_2,Green-D,1,Government Center - Medford/Tufts,,4,100341990,60564597-BabcockGovernmentCenterSuspendBrooklineHillsGovermentCenterClevCirGovtCtrSuspend2,2
Green-E-886-0,Green-E,0,Medford/Tufts - Heath Street,,1,100350000,canonical-Green-E-C1-0,1
Green-E-885-0,Green-E,0,Union Square - Heath Street,Early mornings only,3,100350040,60564702,2
Green-E-886-1,Green-E,1,Heath Street - Medford/Tufts,,1,100351000,canonical-Green-E-C1-1,1
Green-E-86-1,Green-E,1,East Somerville - Medford/Tufts,,3,100351040,60564714,2
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,100400000,canonical-Blue-C1-0,1
Blue-8-0,Blue,0,Orient Heights - Bowdoin,,3,100400040,59736724,2
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,100401000,canonical-Blue-C1-1,1
741-_-0,741,0,South Station - Logan Airport Terminals,,1,100510000,60113391,0
741-_-1,741,1,Logan Airport Terminals - South Station,,1,100511000,60113392,0
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,100511040,60113520,0
742-_-0,742,0,South Station - Drydock Ave (PM Route),,1,100520000,60112498,0
742-3-1,742,1,Drydock Ave - South Station (PM - Omits 88 Black Falcon Ave),,1,100521000,60112497,0
743-_-0,743,0,South Station - Chelsea Station,,1,100530000,60112198,0
743-_-1,743,1,Chelsea Station - South Station,,1,100531000,60112889,0
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,100531040,60112199,0
751-_-0,751,0,South Station - Nubian Station,,1,100550000,60112153,0
751-_-1,751,1,Nubian Station - South Station,,1,100551000,60112152,0
749-_-0,749,0,Temple Place - Nubian Station,,1,100560000,60111981,0
749-_-1,749,1,Nubian Station - Temple Place,,1,100561000,60111980,0
746-_-0,746,0,South Station - Silver Line Way,,1,100570000,60112732,0
746-_-1,746,1,Silver Line Way - South Station,,1,100571000,60112253,0
CR-Fairmount-195ea3c8-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,200010000,canonical-CR-Fairmount-C1-0,1
CR-Fairmount-ff9cd1ee-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,200011000,canonical-CR-Fairmount-C1-1,1
CR-Fitchburg-2a5f6366-0,CR-Fitchburg,0,North Station - Wachusett,,1,200020000,canonical-CR-Fitchburg-C1-0,1
CR-Fitchburg-8294748d-0,CR-Fitchburg,0,North Station - Wachusett,,2,200020020,WedSki651587-423,2
CR-Fitchburg-acb28c6e-0,CR-Fitchburg,0,North Station - Littleton/Route 495,,2,200020030,WedSki651599-481,2
CR-Fitchburg-d82ea33a-1,CR-Fitchburg,1,Wachusett - North Station,,1,200021000,canonical-CR-Fitchburg-C1-1,1
CR-Fitchburg-94972bc9-1,CR-Fitchburg,1,Wachusett - North Station,,2,200021020,WedSki651574-404,2
CR-Fitchburg-6528076d-1,CR-Fitchburg,1,Littleton/Route 495 - North Station,,2,200021030,WedSki651600-482,2
CR-Worcester-b5dda27b-0,CR-Worcester,0,South Station - Worcester,,2,200030020,canonical-CR-Worcester-C1-0,1
CR-Worcester-b7d67732-0,CR-Worcester,0,South Station - Framingham,,2,200030030,CR-627987-597-1,2
CR-Worcester-d18892dd-0,CR-Worcester,0,South Station - Framingham,,2,200030040,CR-627988-595-1,2
CR-Worcester-b65b9e75-0,CR-Worcester,0,South Station - Framingham,,2,200030110,CR-643508-583-1,2
CR-Worcester-bbf42cea-0,CR-Worcester,0,South Station - Framingham,,2,200030120,CR-643510-585-1,2
CR-Worcester-3c40051f-0,CR-Worcester,0,South Station - Worcester,,2,200030130,CR-627999-541-1,2
CR-Worcester-15b1f0b8-0,CR-Worcester,0,South Station - Worcester,,2,200030140,CR-628006-533-1,2
CR-Worcester-b7d1e6e8-0,CR-Worcester,0,South Station - Worcester,,2,200030150,CR-628008-531-1,2
CR-Worcester-02498220-0,CR-Worcester,0,South Station - Worcester,,2,200030160,CR-628010-529-1,2
CR-Worcester-6436caf7-0,CR-Worcester,0,South Station - Worcester,,2,200030170,CR-628038-501-1,2
CR-Worcester-6fbe3217-0,CR-Worcester,0,South Station - Worcester,,2,200030180,CR-628032-507-1,2
CR-Worcester-647db84d-1,CR-Worcester,1,Worcester - South Station,,2,200031020,CR-628039-500-1,2
CR-Worcester-8171c73d-1,CR-Worcester,1,Framingham - South Station,,2,200031030,CR-627986-598-1,2
CR-Worcester-8e925022-1,CR-Worcester,1,Framingham - South Station,,2,200031040,CR-627991-592-1,2
CR-Worcester-cb9d6625-1,CR-Worcester,1,Framingham - South Station,,2,200031050,CR-627997-582-1,2
CR-Worcester-6874ed14-1,CR-Worcester,1,Framingham - South Station,,2,200031140,CR-643509-584-1,2
CR-Worcester-52a67d95-1,CR-Worcester,1,Worcester - South Station,,2,200031150,CR-628005-534-1,2
CR-Worcester-6f1296d4-1,CR-Worcester,1,Worcester - South Station,,2,200031160,CR-628007-532-1,2
CR-Worcester-257727ec-1,CR-Worcester,1,Worcester - South Station,,2,200031170,CR-628009-530-1,2
CR-Worcester-16491f70-1,CR-Worcester,1,Worcester - South Station,,2,200031180,CR-628011-528-1,2
CR-Worcester-38ca01ee-1,CR-Worcester,1,Worcester - South Station,,2,200031190,CR-628015-524-1,2
CR-Worcester-a814f00c-1,CR-Worcester,1,Worcester - South Station,,2,200031200,CR-628017-522-1,2
CR-Worcester-72c8dfb6-1,CR-Worcester,1,Worcester - South Station,,2,200031210,CR-628031-508-1,2
CR-Worcester-C1-1,CR-Worcester,1,Worcester - South Station,,5,200031991,canonical-CR-Worcester-C1-1,1
CR-Franklin-3badde55-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,1,200040000,AMTKSchCh651145-717,2
CR-Franklin-35c1126a-0,CR-Franklin,0,South Station - Foxboro via Fairmount,,1,200040010,AMTKSchCh651111-759,2
CR-Franklin-8076e72e-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040030,AMTKSchCh651123-747,2
CR-Franklin-512734e4-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040040,AMTKSchCh651121-749,2
CR-Franklin-807421e2-0,CR-Franklin,0,South Station - Forge Park/495 via Fairmount,,2,200040050,AMTKSchCh651130-735,2
CR-Franklin-78461397-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040060,AMTKSchCh651141-723,2
CR-Franklin-b8c4a7ca-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040070,AMTKSchCh651138-727,2
CR-Franklin-2757d279-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040080,AMTKSchCh651115-755,2
CR-Franklin-f3922b8c-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200040090,AMTKSchCh651117-753,2
CR-Franklin-dabfeb0c-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040100,AMTKSchCh651132-733,2
CR-Franklin-5a8cf3c8-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040110,AMTKSchCh651136-729,2
CR-Franklin-36a30c21-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040120,AMTKSchCh651140-725,2
CR-Franklin-dc09eba3-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,2,200040130,AMTKSchCh651143-721,2
