route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Alewife - Ashmont,,1,10010004,54975444
Red-3-0,Red,0,Alewife - Braintree,,1,10010005,54977472
Red-1-0_70061_70071_2,Red,0,Kendall/MIT - Ashmont,,4,10010099,54978645-AlewifeKendallSuspend2
Red-3-0_70061_70071_2,Red,0,Kendall/MIT - Braintree,,4,10010099,54978859-AlewifeKendallSuspend2
Red-1-1,Red,1,Ashmont - Alewife,,1,10010104,54975448
Red-3-1,Red,1,Braintree - Alewife,,1,10010105,54977389
Red-1-1_70072_70061_0,Red,1,Ashmont - Kendall/MIT,,4,10010199,54978644-AlewifeKendallSuspend0
Red-3-1_70072_70061_0,Red,1,Braintree - Kendall/MIT,,4,10010199,54978787-AlewifeKendallSuspend0
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,10011000,54219352
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,10011100,54219350
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,10020000,55226768
Orange-8-0,Orange,0,Oak Grove - North Station,Weekends only,3,10020004,55694286
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,10020100,55226893
Orange-8-1,Orange,1,North Station - Oak Grove,Weekends only,3,10020104,55694287
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,10032000,54540571
Green-B-816-0,Green-B,0,Medford/Tufts - Boston College,Mornings only,3,10032004,54540669
Green-B-812-0_70202_70196_2,Green-B,0,Park Street - Boston College,,4,10032099,54544638-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2
Green-B-816-0_70206_70196_0,Green-B,0,Medford/Tufts - North Station,,4,10032099,54544683-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0
Green-B-816-0_70206_70196_2,Green-B,0,Park Street - Boston College,,4,10032099,54544683-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,10032100,54540570
Green-B-816-1,Green-B,1,Boston College - Medford/Tufts,Early mornings only,3,10032104,54540578
Green-B-812-1_70200_70201_0,Green-B,1,Boston College - Park Street,,4,10032199,54544637-GovtCtrNorthStaGovtCtrParkStParkNorBParkNorC0
