service_id,date,exception_type,holiday_name
Boat-EastBoston-Sunday-Summer-25,20250526,1,Memorial Day
Boat-F1-Sunday-Summer-25,20250526,1,Memorial Day
Boat-F4-Sunday-Summer-25,20250526,1,Memorial Day
Boat-F8-Sunday-Summer-25,20250526,1,Memorial Day
Boat-Lynn-Sunday-Summer-25,20250526,1,Memorial Day
MemorialDay,20250526,1,Memorial Day
PRIV22025-hpj25017-Sunday-01,20250526,1,Memorial Day
RTL22025-hmo25011-Weekday-01,20250526,2,Memorial Day
RTL22025-hms25011-Weekday-01,20250526,2,Memorial Day
SPR25-NORTHSS-Wnd-6-S6561ad1d-HvlBrdVn,20250526,1,Memorial Day
SPRING2025-N-Wdy-8-S6561ad1d-HvlBrdVn,20250526,2,Memorial Day
SPRING2025-NORTHSS-Weekend-6,20250526,1,Memorial Day
SPRING2025-NORTHSS-Weekend-6-S7d8482ee,20250526,1,Memorial Day
SPRING2025-NORTHSS-Weekend-6-S9d378dcf,20250526,1,Memorial Day
SPRING2025-NORTHWKD-Weekday-8,20250526,2,Memorial Day
SPRING2025-NORTHWKD-Weekday-8-S7d8482ee,20250526,2,Memorial Day
SPRING2025-NORTHWKD-Weekday-8-S9d378dcf,20250526,2,Memorial Day
SPRING2025-SOUTHSS-Weekend-1,20250526,1,Memorial Day
SPRING2025-SOUTHSS-Weekend-1-Sb0e4ed14,20250526,1,Memorial Day
SPRING2025-SOUTHSS-Weekend-1-Sb7371956,20250526,1,Memorial Day
SPRING2025-SOUTHSS-Weekend-1-Sc9a3b080,20250526,1,Memorial Day
SPRING2025-SOUTHSS-Weekend-1-Sd88ed885,20250526,1,Memorial Day
SPRING2025-SOUTHSS-Weekend-16-S4011ecb9,20250526,1,Memorial Day
SPRING2025-SOUTHSS-Weekend-3-S85407dc6,20250526,1,Memorial Day
SPRING2025-SOUTHSS-Weekend-3-Scbbf1ea5,20250526,1,Memorial Day
SPRING2025-SOUTHWKD-Weekday-1,20250526,2,Memorial Day
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20250526,2,Memorial Day
SPRING2025-SOUTHWKD-Weekday-1-Sb7371956,20250526,2,Memorial Day
SPRING2025-SOUTHWKD-Weekday-1-Sc9a3b080,20250526,2,Memorial Day
SPRING2025-SOUTHWKD-Weekday-1-Sd88ed885,20250526,2,Memorial Day
SPRING2025-SOUTHWKD-Weekday-3-S85407dc6,20250526,2,Memorial Day
SPRING2025-SOUTHWKD-Weekday-3-Scbbf1ea5,20250526,2,Memorial Day
SpringWeekday,20250526,2,Memorial Day
SummerWeekday,20250526,2,Memorial Day
SPRING2025-SOUTHWKD-Weekday-1-Sb0e4ed14,20250530,2,
RTL22025-hmo25016-Saturday-01,20250531,2,
SPR25-NORTHSS-Wnd-6-S6561ad1d-HvlBrdVn,20250531,2,
SPRING2025-SOUTHSS-Weekend-1-Sb0e4ed14,20250531,2,
SPRING2025-SOUTHSS-Weekend-1-Sb0e4ed14,20250601,2,
RTL22025-hms25016-Saturday-01,20250607,1,
RTL22025-hmo25017-Sunday-01,20250608,1,
RTL22025-hms25017-Sunday-01,20250608,1,
RTL22025-hms25011-Weekday-01,20250609,1,
RTL22025-hms25011-Weekday-01,20250610,1,
RTL22025-hms25011-Weekday-01,20250611,1,
RTL22025-hms25011-Weekday-01,20250612,1,
RTL22025-hms25011-Weekday-01,20250613,1,
RTL22025-hms25bj6-Saturday-01,20250614,1,
