from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
38671,MM-0109-S,1,,,,,,OCBRN655157-1007-MDLBrainSouthDynamicB1,OCBRN655157-1007-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655159-1009-MDLBrainSouthDynamicB1,OCBRN655159-1009-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655161-1011-MDLBrainSouthDynamicB1,OCBRN655161-1011-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655171-1013-MDLBrainSouthDynamicB1,OCBRN655171-1013-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655175-1015-MDLBrainSouthDynamicB1,OCBRN655175-1015-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655183-1005-MDLBrainSouthDynamicB1,OCBRN655183-1005-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655184-1003-MDLBrainSouthDynamicB1,OCBRN655184-1003-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655185-1017-MDLBrainSouthDynamicB1,OCBRN655185-1017-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655199-1019-MDLBrainSouthDynamicB1,OCBRN655199-1019-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655203-1021-MDLBrainSouthDynamicB1,OCBRN655203-1021-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655210-2003-MDLBrainSouthDynamicB1,OCBRN655210-2003-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655212-2005-MDLBrainSouthDynamicB1,OCBRN655212-2005-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655214-2007-MDLBrainSouthDynamicB1,OCBRN655214-2007-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655216-2009-MDLBrainSouthDynamicB1,OCBRN655216-2009-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655218-2011-MDLBrainSouthDynamicB1,OCBRN655218-2011-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655220-2013-MDLBrainSouthDynamicB1,OCBRN655220-2013-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655222-2015-MDLBrainSouthDynamicB1,OCBRN655222-2015-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655224-2017-MDLBrainSouthDynamicB1,OCBRN655224-2017-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655226-2019-MDLBrainSouthDynamicB1,OCBRN655226-2019-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655228-2021-MDLBrainSouthDynamicB1,OCBRN655228-2021-MDLBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655153-1071-GRBBrainSouthDynamic-1B1,OCBRN655153-1071-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655165-1077-GRBBrainSouthDynamic-1B1,OCBRN655165-1077-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655166-1075-GRBBrainSouthDynamic-1B1,OCBRN655166-1075-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655167-1073-GRBBrainSouthDynamic-1B1,OCBRN655167-1073-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655179-1081-GRBBrainSouthDynamic-1B1,OCBRN655179-1081-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655192-1079-GRBBrainSouthDynamic-1B1,OCBRN655192-1079-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655194-1083-GRBBrainSouthDynamic-1B1,OCBRN655194-1083-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655208-1085-GRBBrainSouthDynamic-1B1,OCBRN655208-1085-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655247-2071-GRBBrainSouthDynamic-1B1,OCBRN655247-2071-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655249-2073-GRBBrainSouthDynamic-1B1,OCBRN655249-2073-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655251-2075-GRBBrainSouthDynamic-1B1,OCBRN655251-2075-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655253-2077-GRBBrainSouthDynamic-1B1,OCBRN655253-2077-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655255-2079-GRBBrainSouthDynamic-1B1,OCBRN655255-2079-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655257-2081-GRBBrainSouthDynamic-1B1,OCBRN655257-2081-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655259-2083-GRBBrainSouthDynamic-1B1,OCBRN655259-2083-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655261-2085-GRBBrainSouthDynamic-1B1,OCBRN655261-2085-GRBBrainSouthDynamic-12
38671,MM-0109-S,1,,,,,,OCBRN655148-1043-KNGBrainSouthDynamicB1,OCBRN655148-1043-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655156-1045-KNGBrainSouthDynamicB1,OCBRN655156-1045-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655174-1049-KNGBrainSouthDynamicB1,OCBRN655174-1049-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655180-1051-KNGBrainSouthDynamicB1,OCBRN655180-1051-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655188-1047-KNGBrainSouthDynamicB1,OCBRN655188-1047-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655197-1053-KNGBrainSouthDynamicB1,OCBRN655197-1053-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655202-1055-KNGBrainSouthDynamicB1,OCBRN655202-1055-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655207-1057-KNGBrainSouthDynamicB1,OCBRN655207-1057-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655231-2043-KNGBrainSouthDynamicB1,OCBRN655231-2043-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655233-2045-KNGBrainSouthDynamicB1,OCBRN655233-2045-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655235-2047-KNGBrainSouthDynamicB1,OCBRN655235-2047-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655237-2049-KNGBrainSouthDynamicB1,OCBRN655237-2049-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655239-2051-KNGBrainSouthDynamicB1,OCBRN655239-2051-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655241-2053-KNGBrainSouthDynamicB1,OCBRN655241-2053-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655243-2055-KNGBrainSouthDynamicB1,OCBRN655243-2055-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCBRN655245-2057-KNGBrainSouthDynamicB1,OCBRN655245-2057-KNGBrainSouthDynamic2
38671,MM-0109-S,1,,,,,,OCEA656299-093-19:30-GRBBrainSouthDynamic-1B1,OCEA656299-093-19:30-GRBBrainSouthDynamic-12
