trip_id,trip_property_id,value
61170746,note,Waits at some downtown stations for connections
61170746,trip_type,wait
61170799,note,Waits at some downtown stations for connections
61170799,trip_type,wait
61187351,note,Waits at some downtown stations for connections
61187351,trip_type,wait
61187358,note,Waits at some downtown stations for connections
61187358,trip_type,wait
61187731,note,Waits at State for last Blue Line train
61187731,note,Waits at Downtown Crossing for last Red Line train
61187731,trip_type,wait
61187732,note,Waits at Downtown Crossing for last Red Line train
61187732,trip_type,wait
61187843,note,Waits at State for last Blue Line train
61187843,note,Waits at Downtown Crossing for last Red Line train
61187843,trip_type,wait
61187925,note,Waits at Downtown Crossing for last Red Line train
61187925,trip_type,wait
61319116,note,Waits at some downtown stations for connections
61319116,trip_type,wait
61319159,note,Waits at some downtown stations for connections
61319159,trip_type,wait
61338647,note,Waits at some downtown stations for connections
61338647,trip_type,wait
61338700,note,Waits at some downtown stations for connections
61338700,trip_type,wait
61338972,note,Waits at State for last Blue Line train
61338972,note,Waits at Downtown Crossing for last Red Line train
61338972,trip_type,wait
61339054,note,Waits at Downtown Crossing for last Red Line train
61339054,trip_type,wait
61347952,note,Waits at Ruggles for last Orange Line train
61347952,trip_type,wait
61347978,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
61347978,trip_type,wait
61348089,note,Waits at W Broadway @ Broadway Station for last Red Line train
61348089,trip_type,wait
61348298,note,Waits at W Broadway @ Broadway Station for last Red Line train
61348298,trip_type,wait
61348332,note,Waits at Ruggles for last Orange Line train
61348332,trip_type,wait
61348404,note,Waits at Green St @ Magazine St for last Red Line train
61348404,trip_type,wait
61348411,note,Waits at Ruggles for last Orange Line train
61348411,trip_type,wait
61348547,note,Waits at Boylston St @ Dartmouth St for last Green Line train
61348547,trip_type,wait
61348618,note,Waits at Kenmore for last Green Line train
61348618,trip_type,wait
61348809,note,Waits at Ashmont for last Red Line train
61348809,trip_type,wait
61348867,note,Waits at Ruggles for last Orange Line train
61348867,trip_type,wait
61348940,note,Waits at Andrew for last Red Line train
61348940,trip_type,wait
61348941,note,Waits at Forest Hills for last Orange Line train
61348941,trip_type,wait
61349051,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
61349051,trip_type,wait
61349080,note,Waits at Nubian for last Silver Line bus
61349080,trip_type,wait
61349349,note,Waits at Nubian for last Silver Line bus
61349349,trip_type,wait
61349445,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
61349445,trip_type,wait
61391013,note,Does not run during school vacation
61391013,trip_type,supplemental
61391070,note,Does not run during school vacation
61391070,trip_type,supplemental
61391172,note,Waits at Ashmont for last Red Line train
61391172,trip_type,wait
61391216,note,Waits at W Broadway @ Broadway Station for last Red Line train
61391216,trip_type,wait
61391303,note,Does not run during school vacation
61391303,trip_type,supplemental
61391304,note,Does not run during school vacation
61391304,trip_type,supplemental
61391305,note,Does not run during school vacation
61391305,trip_type,supplemental
61391369,note,Waits at Green St @ Magazine St for last Red Line train
61391369,trip_type,wait
61391442,note,Waits at W Broadway @ Broadway Station for last Red Line train
61391442,trip_type,wait
61391459,note,Does not run during school vacation
61391459,trip_type,supplemental
61391657,note,Does not run during school vacation
61391657,trip_type,supplemental
61391659,note,Does not run during school vacation
61391659,trip_type,supplemental
61391662,note,Does not run during school vacation
61391662,trip_type,supplemental
61391664,note,Does not run during school vacation
61391664,trip_type,supplemental
61391666,note,Does not run during school vacation
61391666,trip_type,supplemental
61391668,note,Does not run during school vacation
61391668,trip_type,supplemental
61391670,note,Does not run during school vacation
61391670,trip_type,supplemental
61391672,note,Does not run during school vacation
61391672,trip_type,supplemental
61391675,note,Does not run during school vacation
61391675,trip_type,supplemental
61391749,note,Does not run during school vacation
61391749,trip_type,supplemental
61391850,note,Waits at Nubian for last Silver Line bus
61391850,trip_type,wait
61391851,note,Waits at Nubian for last Silver Line bus
61391851,trip_type,wait
61391858,note,Does not run during school vacation
61391858,trip_type,supplemental
61391972,note,Does not run during school vacation
61391972,trip_type,supplemental
61392102,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
61392102,trip_type,wait
61392201,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
61392201,trip_type,wait
61392287,note,Does not run during school vacation
61392287,trip_type,supplemental
61392311,note,Does not run during school vacation
61392311,trip_type,supplemental
61392312,note,Does not run during school vacation
61392312,trip_type,supplemental
61392313,note,Does not run during school vacation
61392313,trip_type,supplemental
61392314,note,Does not run during school vacation
61392314,trip_type,supplemental
61392315,note,Does not run during school vacation
61392315,trip_type,supplemental
61392316,note,Does not run during school vacation
61392316,trip_type,supplemental
61392329,note,Does not run during school vacation
61392329,trip_type,supplemental
61392330,note,Does not run during school vacation
61392330,trip_type,supplemental
61392354,note,Does not run during school vacation
61392354,trip_type,supplemental
61392427,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
61392427,trip_type,wait
61392621,note,Does not run during school vacation
61392621,trip_type,supplemental
61392626,note,Does not run during school vacation
61392626,trip_type,supplemental
61392787,note,Waits at Ruggles for last Orange Line train
61392787,trip_type,wait
61392788,note,Waits at Ruggles for last Orange Line train
61392788,trip_type,wait
61392789,note,Waits at Ruggles for last Orange Line train
61392789,trip_type,wait
61392790,note,Waits at Ruggles for last Orange Line train
61392790,trip_type,wait
61392828,note,Does not run during school vacation
61392828,trip_type,supplemental
61392855,note,Does not run during school vacation
61392855,trip_type,supplemental
61392867,note,Does not run during school vacation
61392867,trip_type,supplemental
61392878,note,Does not run during school vacation
61392878,trip_type,supplemental
61392879,note,Does not run during school vacation
61392879,trip_type,supplemental
61392888,note,Does not run during school vacation
61392888,trip_type,supplemental
61392889,note,Does not run during school vacation
61392889,trip_type,supplemental
61393080,note,Waits at Kenmore for last Green Line train
61393080,trip_type,wait
61393132,note,Waits at Andrew for last Red Line train
61393132,trip_type,wait
61393135,note,Waits at Boylston St @ Dartmouth St for last Green Line train
61393135,trip_type,wait
61393138,note,Waits at Forest Hills for last Orange Line train
61393138,trip_type,wait
61393172,note,Does not run during school vacation
61393172,trip_type,supplemental
61393179,note,Does not run during school vacation
61393179,trip_type,supplemental
61393183,note,Does not run during school vacation
61393183,trip_type,supplemental
61393189,note,Does not run during school vacation
61393189,trip_type,supplemental
61393234,note,Does not run during school vacation
61393234,trip_type,supplemental
61393376,note,Does not run during school vacation
