trip_id,trip_property_id,value
55459022,note,Waits at some downtown stations for connections
55459022,trip_type,wait
55459067,note,Waits at some downtown stations for connections
55459067,trip_type,wait
55483801,note,Waits at one or more stops for connections
55483801,trip_type,wait
55484067,note,Waits at one or more stops for connections
55484067,trip_type,wait
55484264,note,Waits at one or more stops for connections
55484264,trip_type,wait
55498260,note,Waits at some downtown stations for connections
55498260,trip_type,wait
55498388,note,Waits at some downtown stations for connections
55498388,trip_type,wait
55498526,note,Waits at some downtown stations for connections
55498526,trip_type,wait
55498650,note,Waits at some downtown stations for connections
55498650,trip_type,wait
55713548,note,Waits at some downtown stations for connections
55713548,trip_type,wait
55713610,note,Waits at some downtown stations for connections
55713610,trip_type,wait
55713690,note,Waits at Park Street for last Red Line and Green Line trains
55713690,trip_type,wait
55713813,note,Waits at Park Street for last Red Line and Green Line trains
55713813,trip_type,wait
55713830,note,Waits at Park Street for last Red Line and Green Line trains
55713830,trip_type,wait
55713843,note,Waits at Park Street for last Red Line and Green Line trains
55713843,trip_type,wait
55719885,note,Waits at some downtown stations for connections
55719885,trip_type,wait
55720331,note,Waits at Park Street for last Red Line and Green Line trains
55720331,trip_type,wait
55720361,note,Waits at Park Street for last Red Line and Green Line trains
55720361,trip_type,wait
55721102,note,Waits at Park Street for last Red Line and Green Line trains
55721102,trip_type,wait
55721103,note,Waits at Park Street for last Red Line and Green Line trains
55721103,trip_type,wait
55721326,note,Waits at some downtown stations for connections
55721326,trip_type,wait
55799223,note,Waits at Andrew for last Red Line train
55799223,trip_type,wait
55799253,note,Does not run during school vacation
55799253,trip_type,supplemental
55799340,note,Does not run during school vacation
55799340,trip_type,supplemental
55799343,note,Does not run during school vacation
55799343,trip_type,supplemental
55799375,note,Does not run during school vacation
55799375,trip_type,supplemental
55799478,note,Waits at Ashmont for last Red Line train
55799478,trip_type,wait
55799543,note,Waits at W Broadway @ Broadway Station for last Red Line train
55799543,trip_type,wait
55799844,note,Does not run during school vacation
55799844,trip_type,supplemental
